budget,revenue,genres_name,original_title
14000000,12314651,Comedy,Hot Tub Time Machine 2
40000000,95149435,Comedy,The Princess Diaries 2: Royal Engagement
3300000,13092000,Drama,Whiplash
1200000,16000000,Thriller,Kahaani
0,3923970,Action,마린보이
8000000,3261638,Animation,Pinocchio and the Emperor of the Night
14000000,85446075,Horror,The Possession
0,2586511,Documentary,Control Room
0,34327391,Action,Muppet Treasure Island
6000000,18750246,Comedy,A Mighty Wind
1000000,117235147,Drama,Rocky
0,22642033,Comedy,Revenge of the Nerds II: Nerds in Paradise
15000000,356296601,Drama,American Beauty
53000000,95226116,Comedy,Be Cool
102000000,358372926,Action,Minority Report
500000,198,Action,Šišanje
26000000,57891803,Horror,Red Eye
0,1234254,Drama,The Invisible Woman
8000000,1749457,Comedy,Chalet Girl
32000000,85167639,Action,Transporter 2
80000000,136159423,Adventure,Lost in Space
4000000,36690067,Horror,Friday the 13th Part III
0,100345,Thriller,V/H/S
0,17011,Thriller,InSight
0,4947717,Horror,Black Sheep
0,8403433,Comedy,Dr. Giggles
10000000,13835130,Crime,The Spanish Prisoner
11000000,7847000,Drama,What If
6000000,5849647,Animation,The Transformers: The Movie
45000000,94935764,Action,Changing Lanes
13000000,426480871,Drama,Intouchables
0,36000000,Mystery,Caché
90000000,146936910,Fantasy,The Last Witch Hunter
0,7171,Horror,ABCs of Death 2
140000000,258022233,Action,Rush Hour 3
30000000,40346186,Action,Safe
0,151559,Comedy,About Adam
50000000,189859560,Action,Outbreak
0,92100,Thriller,Final: The Rapture
3800000,14873,War,Major Dundee
0,163000,Action,Cocaine Cowboys
3000000,16217773,Crime,Cool Hand Luke
25000000,24362772,Comedy,The Next Best Thing
6000000,1020921,Drama,5 Flights Up
15000000,47175038,Comedy,The Wedding Date
3906840,4300000,Crime,La doppia ora
80000000,660940780,Animation,Ice Age: The Meltdown
44000000,155760117,Crime,The Hateful Eight
0,653951,Drama,Wilson
38000000,120000000,Science Fiction,Star Trek: Generations
560000,1500000,Romance,Aanrijding in Moscou
12000000,25333333,Adventure,The Great Race
0,11000000,Adventure,The Last Flight of Noah's Ark
0,17514553,Drama,For Keeps
20000000,46069568,Action,Risen
0,36448200,Comedy,Son in Law
0,1056938,Comedy,Joueuse
125000000,238207122,Action,Batman & Robin
0,119563,Music,Were The World Mine
14000000,25482931,Action,All About the Benjamins
150000000,599045960,Adventure,Casino Royale
4000000,14400000,Drama,Trapeze
0,25232289,Thriller,Fallen
5000000,14000000,Horror,Friday the 13th Part VIII: Jason Takes Manhattan
12000000,17654912,Drama,Nebraska
1500000,11806119,Action,Bloodsport
12000000,204940,Crime,Henry's Crime
0,154120,Drama,天注定
2000000,13129846,Crime,To Kill a Mockingbird
85000000,158468292,Action,The Fast and the Furious: Tokyo Drift
29000000,21126225,Drama,The Jacket
0,16756372,Drama,Diarios de motocicleta
11000000,8266343,Comedy,Cry-Baby
0,17393,Crime,Český sen
445000,2300000,Crime,Jackson County Jail
17000000,24922237,Horror,Fright Night
500000,500000,Drama,Kandukondain Kandukondain
6000000,39846344,Comedy,Caddyshack
0,35610100,Crime,Sharky's Machine
1500000,779820,Horror,31
15000000,9237470,Action,Dark Blue
10284523,11588205,Comedy,Shopgirl
43000000,91974818,Drama,The Skeleton Key
28000000,40400657,Thriller,2010
2000000,13101672,Horror,Silent House
50000000,152022101,Action,Congo
8000000,106260000,Drama,Kramer vs. Kramer
7500000,32392047,Crime,紅番區
20000000,13162475,Drama,The Zookeeper's Wife
0,140081992,Drama,Sommersby
30000000,180949000,Action,Kill Bill: Vol. 1
0,215339,Drama,Le fate ignoranti
35000000,15000000,War,Le Hussard sur le toit
0,2724474,Drama,Hunger
15000000,20117339,Thriller,Mulholland Drive
0,14353,Drama,Со мною вот что происходит
2500000,3358,Action,Nuit Blanche
0,73000,Fantasy,Mishen
10500000,23000000,Animation,Las aventuras de Tadeo Jones
6000000,46616067,Action,Colors
7000000,9229401,Action,Dark Angel
60000000,313542341,Drama,A Beautiful Mind
0,14961069,Action,바르게 살자
0,5310554,Drama,Won't Back Down
0,149521495,Comedy,Recep İvedik 4
10900000,16505460,Drama,Belle
31000000,15134293,Drama,Extraordinary Measures
72000000,210000000,Action,Braveheart
14000000,18535191,Drama,An Ideal Husband
15000000,34562222,Drama,Hawaii
75000000,67631903,Action,Bandits
35000000,22034832,Comedy,Little Black Book
100000000,93820758,Thriller,In the Heart of the Sea
20000000,51684798,Comedy,Biloxi Blues
93000000,871368364,Adventure,The Lord of the Rings: The Fellowship of the Ring
25000000,41604473,Action,Undercover Brother
0,311,Drama,一九四二
0,253625427,Action,Wild Hogs
0,1796389,Drama,Boxing Helena
12716953,18814720,Crime,一個好人
90000000,347325802,Action,Rush Hour 2
150000000,448000000,Adventure,Tarzan
1500000,5585154,Action,Loose Cannons
25000000,91036760,Action,Romeo Must Die
7500000,60722734,Comedy,(500) Days of Summer
40000000,7400000,Drama,黃石的孩子
0,15500000,Action,Corvette Summer
10000000,12008642,Horror,The Gift
18000000,46201432,Horror,The Fog
2400000,5731103,Drama,Get on the Bus
4000000,9800000,Comedy,Alan Partridge: Alpha Papa
6000000,5206,Drama,The Good Doctor
0,2452566,Documentary,The Endurance: Shackleton's Legendary Antarctic Expedition
65000000,211780824,Comedy,Due Date
10000000,33000000,Comedy,Run Fatboy Run
2000000,300000,Adventure,Ten Canoes
0,120680,Drama,Cowgirls n' Angels
9000000,4350774,Comedy,PCU
0,3065860,Thriller,Frozen
110000000,407711549,Adventure,X2
14320000,14000000,Drama,Star!
0,31466789,Drama,Girl with a Pearl Earring
3500000,615816,Drama,The Bronze
18000000,382174,Drama,The Informers
4000000,11000000,Horror,Wait Until Dark
0,9188,Drama,Frank & Lola
0,19510371,Comedy,Police Academy 5: Assignment Miami Beach
39200000,86758912,Action,Snowpiercer
0,147214049,Comedy,Beethoven
25000000,432274,Thriller,Dark Tide
0,18,Adventure,Windwalker
0,16905,Documentary,Holy Hell
0,241,Drama,Paperhouse
4000000,52425855,Thriller,The Boy Next Door
0,5091888,Action,Vigilante
20000000,109862682,Adventure,Return to Never Land
3500000,8262833,Action,Бой с Тенью
0,447784,Action,American Cyborg: Steel Warrior
63600000,19412993,Action,Get Carter
32000000,18552460,Action,The Quick and the Dead
3500000,113783,Comedy,Winter Passing
0,12277096,Comedy,Casual Sex?
125000,3200000,Drama,Your Sister's Sister
9000000,17096053,Comedy,Rushmore
40000000,62771059,Thriller,The Reaping
0,25000,Fantasy,Ghosts Can't Do It
0,1723872,Documentary,Koyaanisqatsi
19000000,144216468,Crime,The Exorcism of Emily Rose
5000000,41833347,Mystery,The Return of the Pink Panther
2000000,24600832,Adventure,Mad Max 2
0,55600000,Comedy,Police Academy 2: Their First Assignment
0,2585639,Crime,House of Games
3500000,12000000,Action,Harper
11000000,2807854,Adventure,Return to the Blue Lagoon
12468389,29007412,Comedy,A Few Best Men
38000000,207283925,Action,The Fast and the Furious
90000000,14828081,Horror,Supernova
0,532654,Drama,Boys Life 2
15000000,125212904,Action,First Blood
32000000,156167015,Adventure,Licence to Kill
30000000,31148328,Thriller,Pride and Glory
0,20957001,Drama,The Magdalene Sisters
0,21830957,Comedy,Only the Lonely
6000000,17555141,Adventure,十三人の刺客
82500000,237681299,Comedy,Click
14000000,161001698,Drama,Love's Deadly Triangle: The Texas Cadet Murder
5000000,3833507,Comedy,Trailer Park Boys: The Movie
259000,921000,Drama,West of Zanzibar
180000000,521311860,Animation,WALL·E
0,16337881,Drama,The Single Moms Club
4000000,16675000,Horror,Hellraiser: Bloodline
40000000,79700000,Romance,What to Expect When You're Expecting
0,37915971,Comedy,Absolutely Fabulous: The Movie
0,13168027,Action,Revenge of the Ninja
4500000,744816,Comedy,Life During Wartime
0,115605,Drama,آواز گنجشک‌ها
7000000,136203,Horror,Cameron's Closet
60000000,77920346,Action,The Sentinel
24000000,12372410,Action,Ready to Rumble
12600000,19054534,Drama,The Drop
85000000,144000000,Comedy,Charlotte's Web
10000000,3916303,Music,Earth Girls Are Easy
55000000,110000000,Animation,Free Birds
75000000,527068851,Animation,The Simpsons Movie
3200000,10000000,Horror,Once Bitten
2000000,2801508,Crime,Captive
0,1543112,Crime,One False Move
15000000,66000000,Action,Mighty Morphin Power Rangers: The Movie
0,4352094,Fantasy,Brainscan
100000000,108103450,Western,Hidalgo
22000000,26570463,Horror,An American Werewolf in Paris
7000000,470654000,Horror,Jaws
0,3418141,Action,Father Hood
6700000,31000000,Action,राउडी राठौर
20000000,1969193,Thriller,The Iceman
35000000,173965010,Comedy,Identity Thief
35000000,83061158,Fantasy,STAND BY ME ドラえもん
10000000,85300000,Action,Stripes
0,5010362,Comedy,Sällskapsresan - eller finns det svenskt kaffe på grisfesten?
2600000,3166000,Documentary,Riding Giants
12000000,10652498,Drama,南京!南京!
0,754935,Comedy,Love Potion No. 9
5000000,31649,Comedy,Meet Monica Velour
49000000,352927224,Thriller,Basic Instinct
0,500,Comedy,Gary Gulman: It's About Time
0,6585516,Action,Ned Kelly
50000000,28931401,Fantasy,Drive Angry
